code,date,open,close,diff,rate
SPI@SPX,20230622,4355.4,4381.89,16.2,0.37
SPI@SPX,20230621,4380.01,4365.69,-23.02,-0.52
SPI@SPX,20230620,4396.11,4388.71,-20.88,-0.47
SPI@SPX,20230616,4440.95,4409.59,-16.25,-0.37
SPI@SPX,20230615,4365.33,4425.84,53.25,1.22
SPI@SPX,20230614,4366.29,4372.59,3.58,0.08
SPI@SPX,20230613,4352.61,4369.01,30.08,0.69
SPI@SPX,20230612,4308.32,4338.93,40.07,0.93
SPI@SPX,20230609,4304.88,4298.86,4.93,0.11
SPI@SPX,20230608,4268.69,4293.93,26.41,0.62
SPI@SPX,20230607,4285.47,4267.52,-16.33,-0.38
SPI@SPX,20230606,4271.34,4283.85,10.06,0.24
SPI@SPX,20230605,4282.99,4273.79,-8.58,-0.2
SPI@SPX,20230602,4241.01,4282.37,61.35,1.45
SPI@SPX,20230601,4183.03,4221.02,41.19,0.99
SPI@SPX,20230531,4190.74,4179.83,-25.69,-0.61
SPI@SPX,20230530,4226.71,4205.52,0.07,0.0
SPI@SPX,20230526,4156.16,4205.45,54.17,1.3
SPI@SPX,20230525,4155.71,4151.28,36.04,0.88
SPI@SPX,20230524,4132.96,4115.24,-30.34,-0.73
SPI@SPX,20230523,4176.8,4145.58,-47.05,-1.12
SPI@SPX,20230522,4190.78,4192.63,0.65,0.02
SPI@SPX,20230519,4204.15,4191.98,-6.07,-0.14
SPI@SPX,20230518,4157.68,4198.05,39.28,0.94
SPI@SPX,20230517,4122.85,4158.77,48.87,1.19
SPI@SPX,20230516,4127.95,4109.9,-26.38,-0.64
SPI@SPX,20230515,4126.65,4136.28,12.2,0.3
SPI@SPX,20230512,4138.54,4124.08,-6.54,-0.16
SPI@SPX,20230511,4132.24,4130.62,-7.02,-0.17
SPI@SPX,20230510,4143.74,4137.64,18.47,0.45
SPI@SPX,20230509,4124.25,4119.17,-18.95,-0.46
SPI@SPX,20230508,4136.98,4138.12,1.87,0.05
SPI@SPX,20230505,4084.73,4136.25,75.03,1.85
SPI@SPX,20230504,4082.55,4061.22,-29.53,-0.72
SPI@SPX,20230503,4122.25,4090.75,-28.83,-0.7
SPI@SPX,20230502,4164.1,4119.58,-48.29,-1.16
SPI@SPX,20230501,4166.79,4167.87,-1.61,-0.04
SPI@SPX,20230428,4129.3,4169.48,34.13,0.83
SPI@SPX,20230427,4075.29,4135.35,79.36,1.96
SPI@SPX,20230426,4087.78,4055.99,-15.64,-0.38
SPI@SPX,20230425,4126.43,4071.63,-65.41,-1.58
SPI@SPX,20230424,4132.07,4137.04,3.52,0.09
SPI@SPX,20230421,4132.14,4133.52,3.73,0.09
SPI@SPX,20230420,4130.48,4129.79,-24.73,-0.6
SPI@SPX,20230419,4139.33,4154.52,-0.35,-0.01
SPI@SPX,20230418,4164.26,4154.87,3.55,0.09
SPI@SPX,20230417,4137.17,4151.32,13.68,0.33
SPI@SPX,20230414,4140.11,4137.64,-8.58,-0.21
SPI@SPX,20230413,4100.04,4146.22,54.27,1.33
SPI@SPX,20230412,4121.72,4091.95,-16.99,-0.41
SPI@SPX,20230411,4110.29,4108.94,-0.17,0.0
SPI@SPX,20230410,4085.2,4109.11,4.09,0.1
SPI@SPX,20230406,4081.15,4105.02,14.64,0.36
SPI@SPX,20230405,4094.5,4090.38,-10.22,-0.25
SPI@SPX,20230404,4128.03,4100.6,-23.91,-0.58
SPI@SPX,20230403,4102.2,4124.51,15.2,0.37
SPI@SPX,20230331,4056.18,4109.31,58.48,1.44
SPI@SPX,20230330,4046.74,4050.83,23.02,0.57
SPI@SPX,20230329,3999.53,4027.81,56.54,1.42
SPI@SPX,20230328,3974.13,3971.27,-6.26,-0.16
SPI@SPX,20230327,3982.93,3977.53,6.54,0.16
SPI@SPX,20230324,3939.21,3970.99,22.27,0.56
SPI@SPX,20230323,3959.21,3948.72,11.75,0.3
SPI@SPX,20230322,4002.04,3936.97,-65.9,-1.65
SPI@SPX,20230321,3975.89,4002.87,51.3,1.3
SPI@SPX,20230320,3917.47,3951.57,34.93,0.89
SPI@SPX,20230317,3958.69,3916.64,-43.64,-1.1
SPI@SPX,20230316,3878.93,3960.28,68.35,1.76
SPI@SPX,20230315,3876.74,3891.93,-27.36,-0.7
SPI@SPX,20230314,3894.01,3919.29,63.53,1.65
SPI@SPX,20230313,3835.12,3855.76,-5.83,-0.15
SPI@SPX,20230310,3912.77,3861.59,-56.73,-1.45
SPI@SPX,20230309,3998.66,3918.32,-73.69,-1.85
SPI@SPX,20230308,3987.55,3992.01,5.64,0.14
SPI@SPX,20230307,4048.26,3986.37,-62.05,-1.53
SPI@SPX,20230306,4055.15,4048.42,2.78,0.07
SPI@SPX,20230303,3998.02,4045.64,64.29,1.61
SPI@SPX,20230302,3938.68,3981.35,29.96,0.76
SPI@SPX,20230301,3963.34,3951.39,-18.76,-0.47
SPI@SPX,20230228,3977.19,3970.15,-12.09,-0.3
SPI@SPX,20230227,3992.36,3982.24,12.2,0.31
SPI@SPX,20230224,3973.24,3970.04,-42.28,-1.05
SPI@SPX,20230223,4018.6,4012.32,21.27,0.53
SPI@SPX,20230222,4001.83,3991.05,-6.29,-0.16
SPI@SPX,20230221,4052.35,3997.34,-81.75,-2.0
SPI@SPX,20230217,4077.39,4079.09,-11.32,-0.28
SPI@SPX,20230216,4114.75,4090.41,-57.19,-1.38
SPI@SPX,20230215,4119.5,4147.6,11.47,0.28
SPI@SPX,20230214,4126.7,4136.13,-1.16,-0.03
SPI@SPX,20230213,4096.62,4137.29,46.83,1.14
SPI@SPX,20230210,4068.92,4090.46,8.96,0.22
SPI@SPX,20230209,4144.25,4081.5,-36.36,-0.88
SPI@SPX,20230208,4153.47,4117.86,-46.14,-1.11
SPI@SPX,20230207,4105.35,4164.0,52.92,1.29
SPI@SPX,20230206,4119.57,4111.08,-25.4,-0.61
SPI@SPX,20230203,4136.69,4136.48,-43.28,-1.04
SPI@SPX,20230202,4158.68,4179.76,60.55,1.47
SPI@SPX,20230201,4070.07,4119.21,42.61,1.05
SPI@SPX,20230131,4020.85,4076.6,58.83,1.46
SPI@SPX,20230130,4049.27,4017.77,-52.79,-1.3
SPI@SPX,20230127,4053.72,4070.56,10.13,0.25
SPI@SPX,20230126,4036.08,4060.43,44.21,1.1
SPI@SPX,20230125,3982.71,4016.22,-0.73,-0.02
SPI@SPX,20230124,4001.74,4016.95,-2.86,-0.07
SPI@SPX,20230123,3978.14,4019.81,47.2,1.19
SPI@SPX,20230120,3909.04,3972.61,73.76,1.89
SPI@SPX,20230119,3911.84,3898.85,-30.01,-0.76
SPI@SPX,20230118,4002.25,3928.86,-62.11,-1.56
SPI@SPX,20230117,3999.28,3990.97,-8.12,-0.2
SPI@SPX,20230113,3960.6,3999.09,15.92,0.4
SPI@SPX,20230112,3977.57,3983.17,13.56,0.34
SPI@SPX,20230111,3932.35,3969.61,50.36,1.28
SPI@SPX,20230110,3888.57,3919.25,27.16,0.7
SPI@SPX,20230109,3910.82,3892.09,-2.99,-0.08
SPI@SPX,20230106,3823.37,3895.08,86.98,2.28
SPI@SPX,20230105,3839.74,3808.1,-44.87,-1.16
SPI@SPX,20230104,3840.36,3852.97,28.83,0.75
SPI@SPX,20230103,3853.29,3824.14,-15.36,-0.4
SPI@SPX,20221230,3829.06,3839.5,-9.78,-0.25
SPI@SPX,20221229,3805.45,3849.28,66.06,1.75
SPI@SPX,20221228,3829.56,3783.22,-46.03,-1.2
SPI@SPX,20221227,3843.34,3829.25,-15.57,-0.4
SPI@SPX,20221223,3815.11,3844.82,22.43,0.59
SPI@SPX,20221222,3853.26,3822.39,-56.05,-1.45
SPI@SPX,20221221,3839.49,3878.44,56.82,1.49
SPI@SPX,20221220,3810.47,3821.62,3.96,0.1
SPI@SPX,20221219,3853.79,3817.66,-34.7,-0.9
SPI@SPX,20221216,3890.91,3852.36,-43.39,-1.11
SPI@SPX,20221215,3958.37,3895.75,-99.57,-2.49
SPI@SPX,20221214,4015.54,3995.32,-24.33,-0.61
SPI@SPX,20221213,4069.38,4019.65,29.09,0.73
SPI@SPX,20221212,3939.29,3990.56,56.18,1.43
SPI@SPX,20221209,3954.17,3934.38,-29.13,-0.73
SPI@SPX,20221208,3947.79,3963.51,29.59,0.75
SPI@SPX,20221207,3933.28,3933.92,-7.34,-0.19
SPI@SPX,20221206,3996.63,3941.26,-57.58,-1.44
SPI@SPX,20221205,4052.02,3998.84,-72.86,-1.79
SPI@SPX,20221202,4040.17,4071.7,-4.87,-0.12
SPI@SPX,20221201,4087.14,4076.57,-3.54,-0.09
SPI@SPX,20221130,3957.18,4080.11,122.48,3.09
SPI@SPX,20221129,3964.19,3957.63,-6.31,-0.16
SPI@SPX,20221128,4005.36,3963.94,-62.18,-1.54
SPI@SPX,20221125,4023.34,4026.12,-1.14,-0.03
SPI@SPX,20221123,4000.3,4027.26,23.68,0.59
SPI@SPX,20221122,3965.51,4003.58,53.64,1.36
SPI@SPX,20221121,3956.23,3949.94,-15.4,-0.39
SPI@SPX,20221118,3966.39,3965.34,18.78,0.48
SPI@SPX,20221117,3919.26,3946.56,-12.23,-0.31
SPI@SPX,20221116,3976.82,3958.79,-32.94,-0.83
SPI@SPX,20221115,4006.41,3991.73,34.48,0.87
SPI@SPX,20221114,3977.97,3957.25,-35.68,-0.89
SPI@SPX,20221111,3963.72,3992.93,36.56,0.92
SPI@SPX,20221110,3859.89,3956.37,207.8,5.54
SPI@SPX,20221109,3810.94,3748.57,-79.54,-2.08
SPI@SPX,20221108,3817.02,3828.11,21.31,0.56
SPI@SPX,20221107,3780.71,3806.8,36.25,0.96
SPI@SPX,20221104,3766.98,3770.55,50.66,1.36
SPI@SPX,20221103,3733.25,3719.89,-39.8,-1.06
SPI@SPX,20221102,3852.9,3759.69,-96.41,-2.5
SPI@SPX,20221101,3901.79,3856.1,-15.88,-0.41
SPI@SPX,20221031,3881.85,3871.98,-29.08,-0.75
SPI@SPX,20221028,3808.26,3901.06,93.76,2.46
SPI@SPX,20221027,3834.69,3807.3,-23.3,-0.61
SPI@SPX,20221026,3825.97,3830.6,-28.51,-0.74
SPI@SPX,20221025,3799.44,3859.11,61.77,1.63
SPI@SPX,20221024,3762.01,3797.34,44.59,1.19
SPI@SPX,20221021,3657.1,3752.75,86.97,2.37
SPI@SPX,20221020,3689.05,3665.78,-29.38,-0.8
SPI@SPX,20221019,3703.11,3695.16,-24.82,-0.67
SPI@SPX,20221018,3746.26,3719.98,42.03,1.14
SPI@SPX,20221017,3638.65,3677.95,94.88,2.65
SPI@SPX,20221014,3690.41,3583.07,-86.84,-2.37
SPI@SPX,20221013,3520.37,3669.91,92.88,2.6
SPI@SPX,20221012,3590.83,3577.03,-11.81,-0.33
SPI@SPX,20221011,3595.86,3588.84,-23.55,-0.65
SPI@SPX,20221010,3647.51,3612.39,-27.27,-0.75
SPI@SPX,20221007,3706.74,3639.66,-104.86,-2.8
SPI@SPX,20221006,3771.97,3744.52,-38.76,-1.02
SPI@SPX,20221005,3753.25,3783.28,-7.65,-0.2
SPI@SPX,20221004,3726.46,3790.93,112.5,3.06
SPI@SPX,20221003,3609.78,3678.43,92.81,2.59
SPI@SPX,20220930,3633.48,3585.62,-54.85,-1.51
SPI@SPX,20220929,3687.01,3640.47,-78.57,-2.11
SPI@SPX,20220928,3651.94,3719.04,71.75,1.97
SPI@SPX,20220927,3686.44,3647.29,-7.75,-0.21
SPI@SPX,20220926,3682.72,3655.04,-38.19,-1.03
SPI@SPX,20220923,3727.14,3693.23,-64.76,-1.72
SPI@SPX,20220922,3782.36,3757.99,-31.94,-0.84
SPI@SPX,20220921,3871.4,3789.93,-66.0,-1.71
SPI@SPX,20220920,3875.23,3855.93,-43.96,-1.13
SPI@SPX,20220919,3849.91,3899.89,26.56,0.69
SPI@SPX,20220916,3880.95,3873.33,-28.02,-0.72
SPI@SPX,20220915,3932.41,3901.35,-44.66,-1.13
SPI@SPX,20220914,3940.73,3946.01,13.32,0.34
SPI@SPX,20220913,4037.12,3932.69,-177.72,-4.32
SPI@SPX,20220912,4083.67,4110.41,43.05,1.06
SPI@SPX,20220909,4022.94,4067.36,61.18,1.53
SPI@SPX,20220908,3959.94,4006.18,26.31,0.66
SPI@SPX,20220907,3909.43,3979.87,71.68,1.83
SPI@SPX,20220906,3930.89,3908.19,-16.07,-0.41
SPI@SPX,20220902,3994.66,3924.26,-42.59,-1.07
SPI@SPX,20220901,3936.73,3966.85,11.85,0.3
SPI@SPX,20220831,4000.67,3955.0,-31.16,-0.78
SPI@SPX,20220830,4041.25,3986.16,-44.45,-1.1
SPI@SPX,20220829,4034.58,4030.61,-27.05,-0.67
SPI@SPX,20220826,4198.74,4057.66,-141.46,-3.37
SPI@SPX,20220825,4153.26,4199.12,58.35,1.41
SPI@SPX,20220824,4126.55,4140.77,12.04,0.29
SPI@SPX,20220823,4133.09,4128.73,-9.26,-0.22
SPI@SPX,20220822,4195.08,4137.99,-90.49,-2.14
SPI@SPX,20220819,4266.31,4228.48,-55.26,-1.29
SPI@SPX,20220818,4273.13,4283.74,9.7,0.23
SPI@SPX,20220817,4280.4,4274.04,-31.16,-0.72
SPI@SPX,20220816,4290.46,4305.2,8.06,0.19
SPI@SPX,20220815,4269.37,4297.14,16.99,0.4
SPI@SPX,20220812,4225.02,4280.15,72.88,1.73
SPI@SPX,20220811,4227.4,4207.27,-2.97,-0.07
SPI@SPX,20220810,4181.02,4210.24,87.77,2.13
SPI@SPX,20220809,4133.11,4122.47,-17.59,-0.42
SPI@SPX,20220808,4155.93,4140.06,-5.13,-0.12
SPI@SPX,20220805,4115.87,4145.19,-6.75,-0.16
SPI@SPX,20220804,4154.85,4151.94,-3.23,-0.08
SPI@SPX,20220803,4107.96,4155.17,63.98,1.56
SPI@SPX,20220802,4104.21,4091.19,-27.44,-0.67
SPI@SPX,20220801,4112.38,4118.63,-11.66,-0.28
SPI@SPX,20220729,4087.33,4130.29,57.86,1.42
SPI@SPX,20220728,4026.13,4072.43,48.82,1.21
SPI@SPX,20220727,3951.43,4023.61,102.56,2.62
SPI@SPX,20220726,3953.22,3921.05,-45.79,-1.15
SPI@SPX,20220725,3965.72,3966.84,5.21,0.13
SPI@SPX,20220722,3998.43,3961.63,-37.32,-0.93
SPI@SPX,20220721,3955.47,3998.95,39.05,0.99
SPI@SPX,20220720,3935.32,3959.9,23.21,0.59
SPI@SPX,20220719,3860.73,3936.69,105.84,2.76
SPI@SPX,20220718,3883.79,3830.85,-32.31,-0.84
SPI@SPX,20220715,3818.0,3863.16,72.78,1.92
SPI@SPX,20220714,3763.99,3790.38,-11.4,-0.3
SPI@SPX,20220713,3779.67,3801.78,-17.02,-0.45
SPI@SPX,20220712,3851.95,3818.8,-35.63,-0.92
SPI@SPX,20220711,3880.94,3854.43,-44.95,-1.15
SPI@SPX,20220708,3888.26,3899.38,-3.24,-0.08
SPI@SPX,20220707,3858.85,3902.62,57.54,1.5
SPI@SPX,20220706,3831.98,3845.08,13.69,0.36
SPI@SPX,20220705,3792.61,3831.39,6.06,0.16
SPI@SPX,20220701,3781.0,3825.33,39.95,1.06
SPI@SPX,20220630,3785.99,3785.38,-33.45,-0.88
SPI@SPX,20220629,3825.09,3818.83,-2.72,-0.07
SPI@SPX,20220628,3913.0,3821.55,-78.56,-2.01
SPI@SPX,20220627,3920.76,3900.11,-11.63,-0.3
SPI@SPX,20220624,3821.75,3911.74,116.01,3.06
SPI@SPX,20220623,3774.71,3795.73,35.84,0.95
SPI@SPX,20220622,3733.89,3759.89,-4.9,-0.13
SPI@SPX,20220621,3715.31,3764.79,89.95,2.45
SPI@SPX,20220617,3665.9,3674.84,8.07,0.22
SPI@SPX,20220616,3728.18,3666.77,-123.22,-3.25
SPI@SPX,20220615,3764.05,3789.99,54.51,1.46
SPI@SPX,20220614,3763.52,3735.48,-14.15,-0.38
SPI@SPX,20220613,3838.15,3749.63,-151.23,-3.88
SPI@SPX,20220610,3974.39,3900.86,-116.96,-2.91
SPI@SPX,20220609,4101.65,4017.82,-97.95,-2.38
SPI@SPX,20220608,4147.12,4115.77,-44.91,-1.08
SPI@SPX,20220607,4096.47,4160.68,39.25,0.95
SPI@SPX,20220606,4134.72,4121.43,12.89,0.31
SPI@SPX,20220603,4137.57,4108.54,-68.28,-1.63
SPI@SPX,20220602,4095.41,4176.82,75.59,1.84
SPI@SPX,20220601,4149.78,4101.23,-30.92,-0.75
SPI@SPX,20220531,4151.09,4132.15,-26.09,-0.63
SPI@SPX,20220527,4077.43,4158.24,100.4,2.47
SPI@SPX,20220526,3984.6,4057.84,79.11,1.99
SPI@SPX,20220525,3929.59,3978.73,37.25,0.95
SPI@SPX,20220524,3942.94,3941.48,-32.27,-0.81
SPI@SPX,20220523,3919.42,3973.75,72.39,1.86
SPI@SPX,20220520,3927.76,3901.36,0.57,0.01
SPI@SPX,20220519,3899.0,3900.79,-22.89,-0.58
SPI@SPX,20220518,4051.98,3923.68,-165.17,-4.04
SPI@SPX,20220517,4052.0,4088.85,80.84,2.02
SPI@SPX,20220516,4013.02,4008.01,-15.88,-0.39
SPI@SPX,20220513,3963.9,4023.89,93.81,2.39
SPI@SPX,20220512,3903.95,3930.08,-5.1,-0.13
SPI@SPX,20220511,3990.08,3935.18,-65.87,-1.65
SPI@SPX,20220510,4035.18,4001.05,9.81,0.25
SPI@SPX,20220509,4081.27,3991.24,-132.1,-3.2
SPI@SPX,20220506,4128.17,4123.34,-23.53,-0.57
SPI@SPX,20220505,4270.43,4146.87,-153.3,-3.56
SPI@SPX,20220504,4181.18,4300.17,124.69,2.99
SPI@SPX,20220503,4159.78,4175.48,20.1,0.48
SPI@SPX,20220502,4130.61,4155.38,23.45,0.57
SPI@SPX,20220429,4253.75,4131.93,-155.57,-3.63
SPI@SPX,20220428,4222.58,4287.5,103.54,2.47
SPI@SPX,20220427,4186.52,4183.96,8.76,0.21
SPI@SPX,20220426,4278.14,4175.2,-120.92,-2.81
SPI@SPX,20220425,4255.34,4296.12,24.34,0.57
SPI@SPX,20220422,4385.83,4271.78,-121.88,-2.77
SPI@SPX,20220421,4489.17,4393.66,-65.79,-1.48
SPI@SPX,20220420,4472.26,4459.45,-2.76,-0.06
SPI@SPX,20220419,4390.63,4462.21,70.52,1.61
SPI@SPX,20220418,4385.63,4391.69,-0.9,-0.02
SPI@SPX,20220414,4449.12,4392.59,-54.0,-1.21
SPI@SPX,20220413,4394.3,4446.59,49.14,1.12
SPI@SPX,20220412,4437.59,4397.45,-15.08,-0.34
SPI@SPX,20220411,4462.64,4412.53,-75.75,-1.69
SPI@SPX,20220408,4494.15,4488.28,-11.93,-0.27
SPI@SPX,20220407,4474.65,4500.21,19.06,0.43
SPI@SPX,20220406,4494.17,4481.15,-43.97,-0.97
SPI@SPX,20220405,4572.45,4525.12,-57.52,-1.26
SPI@SPX,20220404,4547.97,4582.64,36.78,0.81
SPI@SPX,20220401,4540.32,4545.86,15.45,0.34
SPI@SPX,20220331,4599.02,4530.41,-72.04,-1.57
SPI@SPX,20220330,4624.2,4602.45,-29.15,-0.63
SPI@SPX,20220329,4602.86,4631.6,56.08,1.23
SPI@SPX,20220328,4541.09,4575.52,32.46,0.71
SPI@SPX,20220325,4522.91,4543.06,22.9,0.51
SPI@SPX,20220324,4469.98,4520.16,63.92,1.43
SPI@SPX,20220323,4493.1,4456.24,-55.37,-1.23
SPI@SPX,20220322,4469.1,4511.61,50.43,1.13
SPI@SPX,20220321,4462.4,4461.18,-1.94,-0.04
SPI@SPX,20220318,4407.34,4463.12,51.45,1.17
SPI@SPX,20220317,4345.11,4411.67,53.81,1.23
SPI@SPX,20220316,4288.14,4357.86,95.41,2.24
SPI@SPX,20220315,4188.82,4262.45,89.34,2.14
SPI@SPX,20220314,4202.75,4173.11,-31.2,-0.74
SPI@SPX,20220311,4279.5,4204.31,-55.21,-1.3
SPI@SPX,20220310,4252.55,4259.52,-18.36,-0.43
SPI@SPX,20220309,4223.1,4277.88,107.18,2.57
SPI@SPX,20220308,4202.66,4170.7,-30.39,-0.72
SPI@SPX,20220307,4327.01,4201.09,-127.78,-2.95
SPI@SPX,20220304,4342.12,4328.87,-34.62,-0.79
SPI@SPX,20220303,4401.31,4363.49,-23.05,-0.53
SPI@SPX,20220302,4322.56,4386.54,80.28,1.86
SPI@SPX,20220301,4363.14,4306.26,-67.68,-1.55
SPI@SPX,20220228,4354.17,4373.94,-10.71,-0.24
SPI@SPX,20220225,4298.38,4384.65,95.95,2.24
SPI@SPX,20220224,4155.77,4288.7,63.2,1.5
SPI@SPX,20220223,4324.93,4225.5,-79.26,-1.84
SPI@SPX,20220222,4332.74,4304.76,-44.11,-1.01
SPI@SPX,20220218,4384.57,4348.87,-31.39,-0.72
SPI@SPX,20220217,4456.06,4380.26,-94.75,-2.12
SPI@SPX,20220216,4455.75,4475.01,3.94,0.09
SPI@SPX,20220215,4429.28,4471.07,69.4,1.58
SPI@SPX,20220214,4412.61,4401.67,-16.97,-0.38
SPI@SPX,20220211,4506.27,4418.64,-85.44,-1.9
SPI@SPX,20220210,4553.24,4504.08,-83.1,-1.81
SPI@SPX,20220209,4547.0,4587.18,65.64,1.45
SPI@SPX,20220208,4480.02,4521.54,37.67,0.84
SPI@SPX,20220207,4505.75,4483.87,-16.66,-0.37
SPI@SPX,20220204,4482.79,4500.53,23.09,0.52
SPI@SPX,20220203,4535.41,4477.44,-111.94,-2.44
SPI@SPX,20220202,4566.39,4589.38,42.84,0.94
SPI@SPX,20220201,4519.57,4546.54,30.99,0.69
SPI@SPX,20220131,4431.79,4515.55,83.7,1.89
SPI@SPX,20220128,4336.19,4431.85,105.34,2.43
SPI@SPX,20220127,4380.58,4326.51,-23.42,-0.54
SPI@SPX,20220126,4408.43,4349.93,-6.52,-0.15
SPI@SPX,20220125,4366.64,4356.45,-53.68,-1.22
SPI@SPX,20220124,4356.32,4410.13,12.19,0.28
SPI@SPX,20220121,4471.38,4397.94,-84.79,-1.89
SPI@SPX,20220120,4547.35,4482.73,-50.03,-1.1
SPI@SPX,20220119,4588.03,4532.76,-44.35,-0.97
SPI@SPX,20220118,4632.24,4577.11,-85.74,-1.84
SPI@SPX,20220114,4637.99,4662.85,3.82,0.08
SPI@SPX,20220113,4733.56,4659.03,-67.32,-1.42
SPI@SPX,20220112,4728.59,4726.35,13.28,0.28
SPI@SPX,20220111,4669.14,4713.07,42.78,0.92
SPI@SPX,20220110,4655.34,4670.29,-6.74,-0.14
SPI@SPX,20220107,4697.66,4677.03,-19.02,-0.41
SPI@SPX,20220106,4693.39,4696.05,-4.53,-0.1
SPI@SPX,20220105,4787.99,4700.58,-92.96,-1.94
SPI@SPX,20220104,4804.51,4793.54,-3.02,-0.06
SPI@SPX,20220103,4778.14,4796.56,30.38,0.64
SPI@SPX,20211231,4775.21,4766.18,-12.55,-0.26
SPI@SPX,20211230,4794.23,4778.73,-14.33,-0.3
SPI@SPX,20211229,4788.64,4793.06,6.71,0.14
SPI@SPX,20211228,4795.49,4786.35,-4.84,-0.1
SPI@SPX,20211227,4733.99,4791.19,65.4,1.38
SPI@SPX,20211223,4703.96,4725.79,29.23,0.62
SPI@SPX,20211222,4650.36,4696.56,47.33,1.02
SPI@SPX,20211221,4594.96,4649.23,81.21,1.78
SPI@SPX,20211220,4587.9,4568.02,-52.62,-1.14
SPI@SPX,20211217,4652.5,4620.64,-48.03,-1.03
SPI@SPX,20211216,4719.13,4668.67,-41.18,-0.87
SPI@SPX,20211215,4636.46,4709.85,75.76,1.63
SPI@SPX,20211214,4642.99,4634.09,-34.88,-0.75
SPI@SPX,20211213,4710.3,4668.97,-43.05,-0.91
SPI@SPX,20211210,4687.64,4712.02,44.57,0.95
SPI@SPX,20211209,4691.0,4667.45,-33.76,-0.72
SPI@SPX,20211208,4690.86,4701.21,14.46,0.31
SPI@SPX,20211207,4631.97,4686.75,95.08,2.07
SPI@SPX,20211206,4548.37,4591.67,53.24,1.17
SPI@SPX,20211203,4589.49,4538.43,-38.67,-0.84
SPI@SPX,20211202,4504.73,4577.1,64.06,1.42
SPI@SPX,20211201,4602.82,4513.04,-53.96,-1.18
SPI@SPX,20211130,4640.25,4567.0,-88.27,-1.9
SPI@SPX,20211129,4628.75,4655.27,60.65,1.32
SPI@SPX,20211126,4664.63,4594.62,-106.84,-2.27
SPI@SPX,20211124,4675.78,4701.46,10.76,0.23
SPI@SPX,20211123,4678.48,4690.7,7.76,0.17
SPI@SPX,20211122,4712.0,4682.94,-15.02,-0.32
SPI@SPX,20211119,4708.44,4697.96,-6.58,-0.14
SPI@SPX,20211118,4700.72,4704.54,15.87,0.34
SPI@SPX,20211117,4701.5,4688.67,-12.23,-0.26
SPI@SPX,20211116,4679.42,4700.9,18.1,0.39
SPI@SPX,20211115,4689.3,4682.8,-0.05,0.0
SPI@SPX,20211112,4655.24,4682.85,33.58,0.72
SPI@SPX,20211111,4659.39,4649.27,2.56,0.06
SPI@SPX,20211110,4670.26,4646.71,-38.54,-0.82
SPI@SPX,20211109,4707.25,4685.25,-16.45,-0.35
SPI@SPX,20211108,4701.48,4701.7,4.17,0.09
SPI@SPX,20211105,4699.26,4697.53,17.47,0.37
SPI@SPX,20211104,4662.93,4680.06,19.49,0.42
SPI@SPX,20211103,4630.65,4660.57,29.92,0.65
SPI@SPX,20211102,4613.34,4630.65,16.98,0.37
SPI@SPX,20211101,4610.62,4613.67,8.29,0.18
SPI@SPX,20211029,4572.87,4605.38,8.96,0.19
SPI@SPX,20211028,4562.84,4596.42,44.74,0.98
SPI@SPX,20211027,4580.22,4551.68,-23.11,-0.51
SPI@SPX,20211026,4578.69,4574.79,8.31,0.18
SPI@SPX,20211025,4553.69,4566.48,21.58,0.47
SPI@SPX,20211022,4546.12,4544.9,-4.88,-0.11
SPI@SPX,20211021,4532.24,4549.78,13.59,0.3
SPI@SPX,20211020,4524.42,4536.19,16.56,0.37
SPI@SPX,20211019,4497.34,4519.63,33.17,0.74
SPI@SPX,20211018,4463.72,4486.46,15.09,0.34
SPI@SPX,20211015,4447.69,4471.37,33.11,0.75
SPI@SPX,20211014,4386.75,4438.26,74.46,1.71
SPI@SPX,20211013,4358.01,4363.8,13.15,0.3
SPI@SPX,20211012,4368.31,4350.65,-10.54,-0.24
SPI@SPX,20211011,4385.44,4361.19,-30.15,-0.69
SPI@SPX,20211008,4406.51,4391.34,-8.42,-0.19
SPI@SPX,20211007,4383.73,4399.76,36.21,0.83
SPI@SPX,20211006,4319.57,4363.55,17.83,0.41
SPI@SPX,20211005,4309.87,4345.72,45.26,1.05
SPI@SPX,20211004,4348.84,4300.46,-56.58,-1.3
SPI@SPX,20211001,4317.16,4357.04,49.5,1.15
SPI@SPX,20210930,4370.67,4307.54,-51.92,-1.19
SPI@SPX,20210929,4362.41,4359.46,6.83,0.16
SPI@SPX,20210928,4419.54,4352.63,-90.48,-2.04
SPI@SPX,20210927,4442.12,4443.11,-12.37,-0.28
SPI@SPX,20210924,4438.04,4455.48,6.5,0.15
SPI@SPX,20210923,4406.75,4448.98,53.34,1.21
SPI@SPX,20210922,4367.43,4395.64,41.45,0.95
SPI@SPX,20210921,4374.45,4354.19,-3.54,-0.08
SPI@SPX,20210920,4402.95,4357.73,-75.26,-1.7
SPI@SPX,20210917,4469.74,4432.99,-40.76,-0.91
SPI@SPX,20210916,4477.09,4473.75,-6.95,-0.16
SPI@SPX,20210915,4447.49,4480.7,37.65,0.85
SPI@SPX,20210914,4479.33,4443.05,-25.68,-0.57
SPI@SPX,20210913,4474.81,4468.73,10.15,0.23
SPI@SPX,20210910,4506.92,4458.58,-34.7,-0.77
SPI@SPX,20210909,4513.02,4493.28,-20.79,-0.46
SPI@SPX,20210908,4518.09,4514.07,-5.96,-0.13
